,link,text,user,likes,quotes,retweets,comments
21,https://twitter.com/narendramodi/status/1802989895197073594#m,वाराणसी में आज शाम करीब 5 बजे अपने अन्नदाता भाई-बहनों से संवाद का सुअवसर मिलेगा। यहां 'पीएम-किसान' की 17वीं किस्त जारी करने के साथ ही कृषि सखियों को प्रमाण पत्र भी प्रदान करूंगा। इसके बाद गंगा आरती और दर्शन-पूजन का सौभाग्य प्राप्त होगा।  https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2025877&RegID=3&LID=1,Narendra Modi,23750,87,4148,829
22,https://twitter.com/myogiadityanath/status/1802863773499138284#m,"अन्नदाता किसानों की समृद्धि आदरणीय प्रधानमंत्री श्री @narendramodi जी की सर्वोच्च प्राथमिकता है।  इसी शृंखला में प्रधानमंत्री जी आज देवाधिदेव महादेव की पावन नगरी वाराणसी से 'पीएम किसान सम्मान निधि' की 17वीं किस्त जारी करेंगे, साथ ही स्वयं सहायता समूह की 30,000 से अधिक कृषि सखियों…",Yogi Adityanath,5676,16,1003,249
23,https://twitter.com/myogiadityanath/status/1802862991228239978#m,'राष्ट्र सेवा सर्वोपरि' की भावना के साथ जीवनपर्यंत समाज कल्याण में रत @RSSorg के पांचवें सरसंघचालक श्रद्धेय के.एस. सुदर्शन जी की जयंती पर उन्हें विनम्र श्रद्धांजलि!  राष्ट्र आराधना हेतु प्रेरित करते उनके विचार आज भी असंख्य जन के लिए प्रेरणा-पुंज हैं।,Yogi Adityanath,8316,19,1202,212
24,https://twitter.com/myogiadityanath/status/1802862517024067639#m,"खेल जगत के ध्रुव तारे, वैश्विक पटल पर अनेक बार माँ भारती को गौरवभूषित करने वाले 'फ्लाइंग सिख', 'पद्म श्री' मिल्खा सिंह की पुण्यतिथि पर उन्हें विनम्र श्रद्धांजलि!  ध्येय के प्रति आपकी लगन, अनुशासन और अथक परिश्रम सभी युवाओं के लिए अनुकरणीय है।",Yogi Adityanath,3851,9,653,134
25,https://twitter.com/myogiadityanath/status/1802861838440305098#m,"प्रथम स्वाधीनता संग्राम को अपने पराक्रम, साहस, संगठन शक्ति, अद्वितीय रण कौशल और बलिदान से नई दिशा देने वाली महान वीरांगना रानी लक्ष्मीबाई के बलिदान दिवस पर उन्हें विनम्र श्रद्धांजलि!  उनका अतुल्य संघर्ष और शौर्य गाथा राष्ट्रभक्तों की हर पीढ़ी को अनंत काल तक प्रेरित करती रहेगी।",Yogi Adityanath,8131,43,1632,376
26,https://twitter.com/myogiadityanath/status/1802592688102912246#m,पश्चिम बंगाल के दार्जिलिंग में रेल दुर्घटना में हुई जनहानि अत्यंत दु:खद एवं हृदयविदारक है।  मेरी संवेदनाएं शोकाकुल परिवारों के साथ हैं।  प्रभु श्री राम से प्रार्थना है कि दिवंगत आत्माओं को अपने श्री चरणों में स्थान व घायलों को शीघ्र स्वास्थ्य लाभ प्रदान करें।,Yogi Adityanath,8093,27,1227,284
27,https://twitter.com/myogiadityanath/status/1802500404472688873#m,"राष्ट्रसेवा के अद्वितीय प्रतीक, प्रखर राष्ट्रवादी विचारक, राष्ट्रीय स्वयंसेवक संघ के तृतीय सरसंघचालक श्रद्धेय श्री बालासाहब देवरस जी की पुण्यतिथि पर उन्हें विनम्र श्रद्धांजलि!  समरस समाज की स्थापना हेतु समर्पित रहा आपका त्यागमय जीवन हम सभी के लिए मार्गदर्शक है।  @RSSorg",Yogi Adityanath,5492,21,914,274
28,https://twitter.com/myogiadityanath/status/1802347044733931952#m,"उत्तराखंड के AIIMS, ऋषिकेश में रूद्रप्रयाग हादसे के घायलों से आज भेंट कर उनका कुशल-क्षेम जाना।  कुशल चिकित्सकों की देख-रेख में सभी घायलों का समुचित उपचार हो रहा है।  प्रभु श्री राम से सभी के शीघ्र स्वास्थ्य लाभ की कामना है।",Yogi Adityanath,18242,18,2276,279
29,https://twitter.com/myogiadityanath/status/1802337897170997274#m,माँ,Yogi Adityanath,143233,913,17794,5215
30,https://twitter.com/myogiadityanath/status/1802221934102344110#m,"कुवैत में अग्नि दुर्घटना में काल-कवलित हुए गोरखपुर निवासी कामगारों के परिजनों से आज गोरखनाथ मंदिर परिसर में भेंट कर अपनी संवेदनाएं प्रकट की एवं उन्हें ₹5-5 लाख की आर्थिक सहायता का चेक भी प्रदान किया।  साथ ही, जम्मू के शिवखोड़ी में हुए हादसे में घायल गोरखपुर के श्रद्धालुओं से भी…",Yogi Adityanath,13768,31,2085,300
