,link,text,user,likes,quotes,retweets,comments
0,https://twitter.com/MrBeast/status/1523674759925760000#m,No takesies backsies,MrBeast,1313540,12831,70062,50707
1,https://twitter.com/MrBeast/status/1802008951946727605#m,Just uploaded the most insane video we’ve ever done.. go watch!,MrBeast,39861,203,1725,2438
2,https://twitter.com/MrBeast/status/1801696863994974284#m,The sets are so insane they don’t even look real 😂,MrBeast,12086,16,302,540
3,https://twitter.com/MrBeast/status/1801695966589853896#m,Tomorrow’s video is something I’ve been working on for years.. an obstacle course in the sky lol,MrBeast,37287,149,1586,1788
4,https://twitter.com/MrBeast/status/1801301285788168379#m,"I don’t think a YouTube channel has ever gained over 20,000,000 subscribers in a month before 😮",MrBeast,115572,457,4665,5186
5,https://twitter.com/MrBeast/status/1800275692107465059#m,I know it might be obvious but I want all of you to know I appreciate you. The life I’m living is the one I dreamed of every night as a kid and I’m very grateful you all watch my content ❤️,MrBeast,145836,528,6512,6322
6,https://twitter.com/MrBeast/status/1798875962920362270#m,I Buried Myself Alive For A Week! Enjoy watching me suffer,MrBeast,110501,1525,6289,4955
7,https://twitter.com/MrBeast/status/1798465522008252438#m,Just filmed our biggest video ever..,MrBeast,498782,11262,26108,12602
8,https://twitter.com/MrBeast/status/1797256546541289682#m,Yesterday was the most subscribers we’ve ever gotten in a day 😮,MrBeast,94447,236,2153,2118
9,https://twitter.com/MrBeast/status/1797057918153499065#m,After 6 years we have finally avenged Pewdiepie 🥹,MrBeast,893810,6193,58776,16213
10,https://twitter.com/MrBeast/status/1796946455317340349#m,"I gave two strangers $10,000 everyday they survived in the wilderness (that’s $3,650,000 a year)  It’s our best video we’ve ever made, go see how long they survived! :D",MrBeast,88658,420,3673,4510
11,https://twitter.com/MrBeast/status/1796631483798503427#m,,MrBeast,99956,86,2187,1072
12,https://twitter.com/MrBeast/status/1796616723455484135#m,👀,MrBeast,422034,1669,14498,8019
13,https://twitter.com/MrBeast/status/1795545213877829831#m,We also created a chrome extension that will automatically show you cool data for whatever video you’re watching to the right of it :D  Install it now! - https://chromewebstore.google.com/detail/viewstats-youtube-video-c/licaccaeplhkahfkoighjblahbnafadl,MrBeast,10211,22,525,537
14,https://twitter.com/MrBeast/status/1795543620595925476#m,"I created a website Viewstats where you can see views, subs, and any advanced data you’d want for any YouTube channel or video! I believe knowledge is power and I want to help creators of all sizes improve their YouTube performance!  Check it out - https://www.viewstats.com",MrBeast,45143,526,3506,2829
15,https://twitter.com/MrBeast/status/1792332656429940869#m,"I put two people who had never met before in a room and gave them $500,000 if they stayed for 100 days!",MrBeast,218101,9264,21912,12367
16,https://twitter.com/MrBeast/status/1791203929927086228#m,I challenge the CEO of T-Series to a boxing match,MrBeast,268041,1263,11425,7049
17,https://twitter.com/MrBeast/status/1789789398009004103#m,Hey billionaires! I’d love to take some of your unfathomable wealth and use it to complete whatever philanthropic project that matters to you for a video on our beast philanthropy channel! (100% of all the revenue on this channel goes back into the charity) ❤️❤️,MrBeast,100949,460,6268,4765
18,https://twitter.com/MrBeast/status/1789326094648168889#m,I think MrBeast just uploaded a YouTube video!,MrBeast,74070,248,3058,4599
19,https://twitter.com/MrBeast/status/1787815165649400122#m,"Here’s how many views I’ve gotten on YouTube every year of my life. I’m grateful after all these years I still get to do what I love 🥰  12- 15,000  13- 7,000  14- 41,148  15- 125,634  16- 202,000  17- 5,482,596  18- 122,441,813  19- 464,282,517  20- 2,099,879,911  21-…",MrBeast,67354,288,2622,3705
20,https://twitter.com/MrBeast/status/1787883269146509518#m,To celebrate my 26th birthday I’m giving away 26 Teslas on my instagram 🎉,MrBeast,435103,8237,28165,37052
21,https://twitter.com/MrBeast/status/1787814110614171666#m,I think today is MrBeast’s Birthday!,MrBeast,143327,1536,7957,18145
